Date,Open,High,Low,Close,Volume
13-Mar-15,27.97,28.77,27.96,28.72,23678740
12-Mar-15,27.11,28.38,27.10,28.02,19567667
11-Mar-15,27.93,28.18,27.61,27.88,17471572
10-Mar-15,28.10,28.32,27.46,27.61,29748958
9-Mar-15,28.54,28.78,27.91,28.66,17562996
6-Mar-15,29.22,29.27,28.39,28.50,28301995
5-Mar-15,29.45,29.84,28.97,29.28,24007735
4-Mar-15,29.72,29.76,28.82,29.26,26708955
3-Mar-15,30.38,30.69,29.38,29.66,28945689
2-Mar-15,31.08,31.50,30.99,31.24,18443179
27-Feb-15,30.97,31.21,30.62,30.67,15651235
26-Feb-15,30.54,30.97,30.36,30.62,14932004
25-Feb-15,30.60,30.92,30.35,30.48,16774689
24-Feb-15,30.14,30.95,28.79,30.77,54984960
23-Feb-15,31.86,31.91,31.27,31.40,13867905
20-Feb-15,31.74,32.04,31.27,32.03,16531468
19-Feb-15,32.12,32.20,31.72,31.81,13430963
18-Feb-15,32.26,32.50,32.03,32.17,12348425
17-Feb-15,32.31,32.84,32.22,32.33,19877408
13-Feb-15,32.21,32.40,31.34,31.85,18739176
12-Feb-15,31.06,32.05,30.94,31.94,23793236
11-Feb-15,31.09,31.58,30.45,31.02,29782243
10-Feb-15,29.10,31.14,29.00,31.09,43830964
9-Feb-15,28.77,28.77,28.24,28.35,22390262
6-Feb-15,29.54,29.90,28.86,28.91,18744143
5-Feb-15,29.30,29.52,29.12,29.49,19785893
4-Feb-15,28.81,29.24,28.70,29.03,20932849
3-Feb-15,28.57,29.09,28.48,28.94,24009174
2-Feb-15,29.25,29.39,28.09,28.44,34019576
30-Jan-15,29.40,29.80,29.07,29.26,23451622
29-Jan-15,29.29,29.83,28.86,29.71,30282696
28-Jan-15,30.00,30.19,29.03,29.10,21685204
27-Jan-15,30.43,30.45,29.39,29.65,27587854
26-Jan-15,30.54,31.02,30.21,31.02,19175542
23-Jan-15,30.89,31.13,30.46,30.95,21161818
22-Jan-15,30.45,30.95,30.23,30.89,22299238
21-Jan-15,29.50,30.74,29.50,30.49,27258655
20-Jan-15,29.51,30.02,29.35,29.67,29884176
16-Jan-15,29.14,29.26,28.51,28.99,58433281
15-Jan-15,30.25,30.42,29.27,29.30,28512434
14-Jan-15,30.27,31.20,29.80,30.05,35766056
13-Jan-15,31.92,32.20,30.64,30.84,40260451
12-Jan-15,32.39,32.99,31.40,31.66,41982709
9-Jan-15,33.76,33.87,32.96,33.52,19328525
8-Jan-15,32.56,33.87,32.55,33.67,31947111
7-Jan-15,31.53,32.98,31.45,32.10,52552340
6-Jan-15,34.10,34.23,32.63,32.87,40092019
5-Jan-15,34.71,34.74,33.75,33.78,23706638
2-Jan-15,35.24,35.52,34.34,34.75,15138243
31-Dec-14,35.45,35.53,35.00,35.01,10714301
30-Dec-14,35.43,35.74,35.30,35.40,11480533
29-Dec-14,35.27,35.68,35.08,35.53,12365816
26-Dec-14,35.03,35.23,34.98,35.00,6883684
24-Dec-14,35.03,35.10,34.62,34.91,4672964
23-Dec-14,34.92,35.19,34.76,34.97,10948957
22-Dec-14,34.75,35.00,34.50,34.64,12687924
19-Dec-14,34.59,34.80,34.13,34.49,18469622
18-Dec-14,34.62,34.79,34.05,34.45,18200620
17-Dec-14,33.08,33.90,32.50,33.83,19434642
16-Dec-14,32.90,33.92,32.37,32.92,28611553
15-Dec-14,34.35,34.45,33.25,33.36,27305711
12-Dec-14,34.92,34.93,33.97,34.00,19798884
11-Dec-14,35.16,35.82,34.90,35.19,13280098
10-Dec-14,35.44,35.65,34.78,34.86,17037862
9-Dec-14,34.85,35.71,34.54,35.66,16503476
8-Dec-14,36.46,36.59,35.70,36.02,15815273
5-Dec-14,36.09,36.50,36.02,36.49,14114821
4-Dec-14,36.03,36.50,35.67,36.07,16489038
3-Dec-14,35.90,36.35,35.74,36.10,29011484
